"customer_id","customer_name","customer_phone","customer_email","order_id","order_date","order_total","order_items"
"1","Customer 1","""+44-1693623526""","customer0@example.com","1001","2023-01-01","300.0","[{""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 2, ""price"": 150.0}]"
"2","Customer 2","""+49-2082250353""","customer1@example.com","1002","2023-01-02","150.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 1, ""price"": 50.0}, {""product_id"": ""C1"", ""product_name"": ""Doohickey"", ""quantity"": 2, ""price"": 50.0}]"
"3","Customer 3","""+91-5457298505""","CUSTOMER2@EXAMPLE.COM","1003","2023-01-03","250.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 2, ""price"": 50.0}, {""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 1, ""price"": 150.0}]"
"4","Customer 4","""+33-7304899446""","customer3@example.com","1004","2023-01-04","150.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 1, ""price"": 50.0}, {""product_id"": ""C1"", ""product_name"": ""Doohickey"", ""quantity"": 2, ""price"": 50.0}]"
"5","Customer 5","""+33-2862900690""","CUSTOMER4@EXAMPLE.COM","1005","2023-01-05","300.0","[{""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 2, ""price"": 150.0}]"
"6","Customer 6","""+91-9616368162""","CUSTOMER5@EXAMPLE.COM","1006","2023-01-06","300.0","[{""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 2, ""price"": 150.0}]"
"7","Customer 7","""+81-2126597447""","customer6@example.com","1007","2023-01-07","150.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 1, ""price"": 50.0}, {""product_id"": ""C1"", ""product_name"": ""Doohickey"", ""quantity"": 2, ""price"": 50.0}]"
"8","Customer 8","""+86-2672153582""","customer7@example.com","1008","2023-01-08","250.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 2, ""price"": 50.0}, {""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 1, ""price"": 150.0}]"
"9","Customer 9","""+1-2093269741""","CUSTOMER8@EXAMPLE.COM","1009","2023-01-09","300.0","[{""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 2, ""price"": 150.0}]"
"10","Customer 10","""+91-9715936690""","CUSTOMER9@EXAMPLE.COM","1010","2023-01-10","300.0","[{""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 2, ""price"": 150.0}]"
"11","Customer 11","""+44-3092222892""","CUSTOMER10@EXAMPLE.COM","1011","2023-01-11","250.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 2, ""price"": 50.0}, {""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 1, ""price"": 150.0}]"
"12","Customer 12","""+86-7343960588""","customer11@example.com","1012","2023-01-12","250.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 2, ""price"": 50.0}, {""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 1, ""price"": 150.0}]"
"13","Customer 13","""+39-1373801389""","CUSTOMER12@EXAMPLE.COM","1013","2023-01-13","250.0","[{""product_id"": ""A1"", ""product_name"": ""Widget"", ""quantity"": 2, ""price"": 50.0}, {""product_id"": ""B1"", ""product_name"": ""Gadget"", ""quantity"": 1, ""price"": 150.0}]"
